2023-085A               
2 57050  42.9987 349.9786 0001812 276.1670  83.8992 15.71369738  3412
STARLINK-5839           
1 57051U 23088D   23194.73934103 -.00000269  00000+0  13970-5 0  9990
2 57051  42.9985 349.9750 0001897 267.4780  92.5871 15.71352275  3411
STARLINK-5860           
1 57052U 23088E   23193.78612205  .00004859  00000+0  40470-4 0  9993
2 57052  42.9988 355.7305 0001294 256.2928 103.7796 15.71357261  3261
STARLINK-5865           
1 57053U 23088F   23194.73912878  .00014082  00000+0  11058-3 0  9997
2 57053  42.9988 349.9758 0001786 274.5034  85.5629 15.71369396  3417
STARLINK-5881           
1 57054U 23088G   23194.73902122  .00032762  00000+0  25202-3 0  9990
2 57054  42.9981 349.9725 0001752 267.9962  92.0705 15.71381481  3411
STARLINK-6237           
1 57055U 23088H   23194.73923447  .00002862  00000+0  25266-4 0  9993
2 57055  42.9986 349.9754 0002127 272.5039  87.5585 15.71356729  3415
STARLINK-6353           
1 57056U 23088J   23194.73881228  .00003475  00000+0  29928-4 0  9994
2 57056  42.9989 349.9698 0002159 278.2110  81.8513 15.71360813  3411
STARLINK-6223           
1 57057U 23088K   23194.73860265  .00053520  00000+0  40826-3 0  9998
2 57057  42.9980 349.9698 0001662 273.6234  86.4444 15.71395529  3413
STARLINK-6217           
1 57058U 23088L   23194.73891719  .00009919  00000+0  78957-4 0  9997
2 57058  42.9986 349.9740 0001906 272.8000  87.2649 15.71365992  3418
STARLINK-6211           
1 57059U 23088M   23194.73838906  .00001513  00000+0  14978-4 0  9992
2 57059  42.9982 349.9687 0001909 279.3865  80.6787 15.71366292  3413
STARLINK-6227           
1 57060U 23088N   23194.73870243  .00005991  00000+0  49064-4 0  9992
2 57060  42.9983 349.9704 0001797 273.5997  86.4665 15.71373411  3413
STARLINK-5869           
1 57061U 23088P   23194.73818060  .00002963  00000+0  26045-4 0  9992
2 57061  42.9983 349.9651 0002007 274.1751  85.8887 15.71349460  3411
STARLINK-5536           
1 57062U 23088Q   23194.71143334  .00008425  00000+0  67603-4 0  9990
2 57062  42.9992 349.7521 0001804 274.6979  85.3683 15.71363542  3413
STARLINK-5832           
1 57063U 23088R   23194.73785808  .00002567  00000+0  23006-4 0  9991
2 57063  42.9985 349.9626 0001992 276.4908  83.5733 15.71371806  3412
STARLINK-5822           
1 57064U 23088S   23194.73828484  .00015310  00000+0  11993-3 0  9991
2 57064  42.9992 349.9699 0002173 264.4783  95.5837 15.71364369  3415
STARLINK-5830           
1 57065U 23088T   23194.73796753  .00009216  00000+0  73594-4 0  9999
2 57065  42.9980 349.9652 0001812 274.4455  85.6206 15.71373126  3419
STARLINK-5827           
1 57066U 23088U   23193.78465050  .00000809  00000+0  96206-5 0  9992
2 57066  42.9980 355.7180 0001996 275.7182  84.3458 15.71353029  3263
STARLINK-5824           
1 57067U 23088V   23194.73765622  .00026952  00000+0  20814-3 0  9994
2 57067  42.9986 349.9599 0001885 274.2660  85.7993 15.71374040  3413
STARLINK-5844           
1 57068U 23088W   23194.73775863  .00080859  00000+0  61194-3 0  9995
2 57068  42.9979 349.9639 0002146 284.5826  75.4804 15.71437379  3412
STARLINK-5821           
1 57069U 23088X   23194.67305406  .00050425  00000+0  38554-3 0  9991
2 57069  42.9976 350.3369 0001610 260.7340  99.3346 15.71361751  3403
STARLINK-5828           
1 57070U 23088Y   23194.73744476  .00020863  00000+0  16202-3 0  9993
2 57070  42.9980 349.9608 0002116 269.1082  90.9544 15.71372424  3415
STARLINK-5834           
1 57071U 23088Z   23194.73703060  .00064661  00000+0  49161-3 0  9992
2 57071  42.9983 349.9585 0002001 282.7875  77.2769 15.71407699  3125
STARLINK-5843           
1 57072U 23088AA  23194.73723669  .00006018  00000+0  49302-4 0  9990
2 57072  42.9984 349.9574 0002062 268.6041  91.4591 15.71356066  3414
STARLINK-5838           
1 57073U 23088AB  23194.73733948  .00034876  00000+0  26796-3 0  9996
2 57073  42.9981 349.9583 0001727 266.7238  93.3432 15.71383883  3418
STARLINK-5773           
1 57074U 23088AC  23194.73754655  .00065276  00000+0  49617-3 0  9990
2 57074  42.9979 349.9606 0001670 265.4214  94.6463 15.71410483  3414
STARLINK-5542           
1 57075U 23088AD  23193.78307318  .00000293  00000+0  56857-5 0  9999
2 57075  42.9985 355.7012 0001836 254.5080 105.5585 15.71352302  3267
STARLINK-6155           
1 57076U 23088AE  23194.73713144  .00002051  00000+0  19090-4 0  9995
2 57076  42.9986 349.9578 0002327 265.1320  94.9282 15.71356283  3416
STARLINK-6194           
1 57077U 23088AF  23194.73670877  .00020821  00000+0  16170-3 0  9991
2 57077  42.9983 349.9556 0001841 276.7839  83.2819 15.71373389  3416
STARLINK-6246           
1 57078U 23088AG  23193.78338880 -.00000719  00000+0 -20322-5 0  9993
2 57078  42.9984 355.7063 0001901 259.4716 100.5938 15.71350595  3267
STARLINK-6245           
1 57079U 23088AH  23194.73628756  .00008622  00000+0  69090-4 0  9997
2 57079  42.9980 349.9499 0001780 274.5808  85.4856 15.71369092  3416
STARLINK-6243           
1 57080U 23088AJ  23194.73691907  .00008107  00000+0  65175-4 0  9995
2 57080  42.9983 349.9556 0001784 273.7774  86.2890 15.71368366  3412
STARLINK-6184           
1 57081U 23088AK  23194.73608756  .00049532  00000+0  37857-3 0  9998
2 57081  42.9983 349.9482 0001747 273.3002  86.7665 15.71377217  3410
STARLINK-6248           
1 57082U 23088AL  23194.67283369  .00006924  00000+0  56202-4 0  9995
2 57082  42.9982 350.3335 0002019 269.5616  90.5020 15.71356874  3407
STARLINK-6253           
1 57083U 23088AM  23194.73576351  .00023586  00000+0  18267-3 0  9990
2 57083  42.9978 349.9460 0002109 275.9929  84.0698 15.71370914  3415
STARLINK-6240           
1 57084U 23088AN  23194.73618487  .00015021  00000+0  11771-3 0  9996
2 57084  42.9979 349.9497 0001713 273.5870  86.4802 15.71370751  3418
STARLINK-6232           
1 57085U 23088AP  23194.73565184  .00022082  00000+0  17116-3 0  9996
2 57085  42.9994 349.9427 0001933 275.4719  84.5929 15.71387462  3412
STARLINK-6247           
1 57086U 23088AQ  23194.73597330  .00009351  00000+0  74653-4 0  9999
2 57086  42.9979 349.9460 0002199 276.9646  83.0972 15.71362623  3417
STARLINK-6251           
1 57087U 23088AR  23194.73555202  .00002081  00000+0  19313-4 0  9997
2 57087  42.9989 349.9432 0002396 268.4518  91.6076 15.71359138  3418
STARLINK-6257           
1 57088U 23088AS  23194.73586319  .00008634  00000+0  69150-4 0  9995
2 57088  42.9981 349.9463 0001409 267.6657  92.4049 15.71378940  3415
STARLINK-6259           
1 57089U 23088AT  23194.73513180  .00001864  00000+0  17658-4 0  9996
2 57089  42.9989 349.9400 0001888 267.2454  92.8198 15.71359274  3415
STARLINK-6254           
1 57090U 23088AU  23194.73544967 -.00000972  00000+0 -39632-5 0  9993
2 57090  42.9985 349.9433 0002293 267.1531  92.9074 15.71349842  3419
STARLINK-6262           
1 57091U 23088AV  23194.73523972  .00000021  00000+0  36082-5 0  9996
2 57091  42.9986 349.9406 0002019 272.1639  87.8997 15.71352591  3414
STARLINK-6225           
1 57092U 23088AW  23194.73534215  .00003829  00000+0  32621-4 0  9992
2 57092  42.9984 349.9419 0001991 268.1943  91.8697 15.71361894  3416
STARLINK-6229           
1 57093U 23088AX  23194.73502502  .00008406  00000+0  67440-4 0  9990
2 57093  42.9985 349.9383 0001708 270.5297  89.5375 15.71369874  3416
STARLINK-6235           
1 57094U 23088AY  23194.73493966  .00052007  00000+0  39744-3 0  9995
2 57094  42.9983 349.9378 0001621 274.4294  85.6389 15.71362504  3418
STARLINK-6132           
1 57101U 23090A   23194.62229667  .00001494  00000+0  14836-4 0  9990
2 57101  42.9994 160.8984 0001596 261.4652  98.6035 15.71353837  3171
STARLINK-6111           
1 57102U 23090B   23195.06691335  .00004961  00000+0  41257-4 0  9994
2 57102  42.9990 158.2115 0001685 243.9492 116.1203 15.71354625  3248
STARLINK-6123           
1 57103U 23090C   23194.85525131  .00005054  00000+0  41950-4 0  9995
2 57103  42.9997 159.2016 0001330 261.0640  99.0077 15.71360993  3210
STARLINK-6130           
1 57104U 23090D   23194.62219322  .00019130  00000+0  14899-3 0  9994
2 57104  42.9988 160.8973 0001634 250.7611 109.3080 15.71355378  3176
STARLINK-6097           
1 57105U 23090E   23194.62187632  .00000922  00000+0  10472-4 0  9996
2 57105  42.9996 160.8962 0001272 252.2741 107.7988 15.71353994  3174
STARLINK-6118           
1 57106U 23090F   23195.06649495  .00000495  00000+0  72157-5 0  9990
2 57106  43.0015 158.2089 0001393 258.8494 101.2217 15.71358706  3249
STARLINK-6131           
1 57107U 23090G   23194.87539736  .00017278  00000+0  13501-3 0  9998
2 57107  42.9990 159.3561 0001790 247.8537 112.2141 15.71341109  3218
STARLINK-6099           
1 57108U 23090H   23195.06660141 -.00002449  00000+0 -15243-4 0  9998
2 57108  42.9991 158.2086 0001468 251.4995 108.5714 15.71344247  3244
STARLINK-6139           
1 57109U 23090J   23194.62135073  .00000543  00000+0  75878-5 0  9993
2 57109  42.9999 160.8906 0001646 252.5903 107.4785 15.71353542  3178
STARLINK-6134           
1 57110U 23090K   23195.06670299  .00009009  00000+0  72062-4 0  9995
2 57110  42.9989 158.2104 0001609 244.8027 115.2674 15.71358206  3244
STARLINK-6140           
1 57111U 23090L   23194.62082143  .00003459  00000+0  29807-4 0  9994
2 57111  42.9999 160.8878 0001787 253.1961 106.8711 15.71360240  3171
STARLINK-6141           
1 57112U 23090M   23195.06638847  .00005424  00000+0  44783-4 0  9996
2 57112  42.9993 158.2091 0001625 245.0716 114.9983 15.71353400  3242
STARLINK-6142           
1 57113U 23090N   23194.62103503  .00005580  00000+0  45966-4 0  9991
2 57113  42.9997 160.8898 0001640 256.2076 103.8609 15.71357643  3178
STARLINK-6125           
1 57114U 23090P   23194.62092535  .00000840  00000+0  98527-5 0  9990
2 57114  42.9993 160.8879 0001532 259.6683 100.4012 15.71355334  3171
STARLINK-6085           
1 57115U 23090Q   23195.06554798 -.00001850  00000+0 -10671-4 0  9991
2 57115  43.0001 158.2021 0001487 254.5003 105.5701 15.71346844  3248
STARLINK-6129           
1 57116U 23090R   23195.06617829  .00040215  00000+0  30827-3 0  9997
2 57116  42.9995 158.2073 0001774 263.1841  96.8825 15.71383241  3242
STARLINK-6148           
1 57117U 23090S   23195.06533614 -.00002293  00000+0 -14045-4 0  9998
2 57117  42.9998 158.1997 0001750 245.0857 114.9829 15.71347497  3249
STARLINK-6151           
1 57118U 23090T   23195.06565212  .00001276  00000+0  13171-4 0  9995
2 57118  42.9991 158.2015 0001493 252.4532 107.6172 15.71356961  3247
STARLINK-6150           
1 57119U 23090U   23194.62029881  .00001095  00000+0  11796-4 0  9994
