 [00:55:17]  Set Debug : True.
 [01:44:51]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:52]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:52]  INP: S 5, D 8, Dp 46, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:53]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:54]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:55]  OUT: S 8, D 5, Dp 9, Sp 53, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:56]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:56]  INP: S 5, D 8, Dp 41, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:57]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:59]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:59]  INP: S 5, D 8, Dp 49, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:00]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:00]  INP: S 5, D 8, Dp 36, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:01]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:03]  OUT: S 8, D 5, Dp 9, Sp 44, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:04]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:05]  OUT: S 8, D 5, Dp 9, Sp 51, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:06]  INP: S 5, D 8, Dp 51, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:06]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:08]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:09]  OUT: S 8, D 5, Dp 9, Sp 42, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:10]  INP: S 5, D 8, Dp 42, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:10]  OUT: S 8, D 5, Dp 9, Sp 62, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:12]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:13]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:14]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:16]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:17]  OUT: S 8, D 5, Dp 9, Sp 60, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:17]  INP: S 5, D 8, Dp 60, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:18]  OUT: S 8, D 5, Dp 9, Sp 48, Pr 1, Fl 0x01, Sz 0 VIA: KISS
