 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP: CMP: conn pointer 0x55b2da321be0, packet pointer (nil), flag 2, seq_nr 48180, ack_nr 39984
 [02:18:15]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
