 [01:46:48]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:49]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:51]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:52]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:53]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:55]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:56]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:57]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:59]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:00]  OUT: S 8, D 5, Dp 9, Sp 55, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:01]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:02]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:04]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:05]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:06]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:08]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:09]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:47:09]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:47:49]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:47:50]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:47:52]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:47:54]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:47:56]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:47:58]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:47:59]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:02]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:03]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:05]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
